STATISTIČNA REGIJA;STAROSTNI RAZRED;MESEC;DATA
SLOVENIJA;30-34;2016M11;110721
SLOVENIJA;30-34;2016M12;109886
SLOVENIJA;30-34;2017M01;109298
SLOVENIJA;30-34;2017M02;109514
SLOVENIJA;30-34;2017M03;110248
SLOVENIJA;30-34;2017M04;110822
SLOVENIJA;30-34;2017M05;111312
SLOVENIJA;30-34;2017M06;111540
SLOVENIJA;30-34;2017M07;110839
SLOVENIJA;30-34;2017M08;110764
SLOVENIJA;30-34;2017M09;111449
SLOVENIJA;30-34;2017M10;111618
SLOVENIJA;30-34;2017M11;112070
SLOVENIJA;30-34;2017M12;111522
SLOVENIJA;30-34;2018M01;111059
SLOVENIJA;30-34;2018M02;111304
SLOVENIJA;30-34;2018M03;112102
SLOVENIJA;30-34;2018M04;112617
SLOVENIJA;30-34;2018M05;112929
SLOVENIJA;30-34;2018M06;112941
SLOVENIJA;30-34;2018M07;112490
SLOVENIJA;30-34;2018M08;112504
SLOVENIJA;30-34;2018M09;113316
SLOVENIJA;30-34;2018M10;113740
SLOVENIJA;30-34;2018M11;113733
SLOVENIJA;30-34;2018M12;113641
SLOVENIJA;30-34;2019M01;113003
SLOVENIJA;30-34;2019M02;113291
SLOVENIJA;30-34;2019M03;113655
SLOVENIJA;30-34;2019M04;113903
SLOVENIJA;30-34;2019M05;114085
SLOVENIJA;30-34;2019M06;114080
SLOVENIJA;30-34;2019M07;113506
SLOVENIJA;30-34;2019M08;113129
SLOVENIJA;30-34;2019M09;113522
SLOVENIJA;30-34;2019M10;113535
SLOVENIJA;30-34;2019M11;113445
SLOVENIJA;30-34;2019M12;113582
SLOVENIJA;30-34;2020M01;112019
SLOVENIJA;30-34;2020M02;111995
SLOVENIJA;30-34;2020M03;111361
SLOVENIJA;30-34;2020M04;109268
SLOVENIJA;30-34;2020M05;108590
SLOVENIJA;30-34;2020M06;108552
SLOVENIJA;30-34;2020M07;108063
SLOVENIJA;30-34;2020M08;107771
SLOVENIJA;30-34;2020M09;108437
SLOVENIJA;30-34;2020M10;108628
SLOVENIJA;30-34;2020M11;108392
SLOVENIJA;30-34;2020M12;108553
SLOVENIJA;30-34;2021M01;107484
SLOVENIJA;30-34;2021M02;107910
SLOVENIJA;30-34;2021M03;108495
SLOVENIJA;30-34;2021M04;108764
SLOVENIJA;30-34;2021M05;109098
SLOVENIJA;30-34;2021M06;109708
SLOVENIJA;30-34;2021M07;109561
SLOVENIJA;30-34;2021M08;109389
SLOVENIJA;30-34;2021M09;109838
SLOVENIJA;30-34;2021M10;109781
SLOVENIJA;30-34;2021M11;109630
SLOVENIJA;30-34;2021M12;109888
SLOVENIJA;30-34;2022M01;109094
SLOVENIJA;30-34;2022M02;109310
SLOVENIJA;30-34;2022M03;109137
SLOVENIJA;30-34;2022M04;109204
SLOVENIJA;30-34;2022M05;108827
SLOVENIJA;30-34;2022M06;108720
SLOVENIJA;30-34;2022M07;108439
SLOVENIJA;30-34;2022M08;108108
SLOVENIJA;30-34;2022M09;108146
SLOVENIJA;30-34;2022M10;108233
SLOVENIJA;30-34;2022M11;107965
SLOVENIJA;30-34;2022M12;108134
SLOVENIJA;30-34;2023M01;107103
SLOVENIJA;30-34;2023M02;107152
SLOVENIJA;30-34;2023M03;107068
SLOVENIJA;30-34;2023M04;106960
SLOVENIJA;30-34;2023M05;106863
SLOVENIJA;30-34;2023M06;106667
SLOVENIJA;30-34;2023M07;106312
SLOVENIJA;30-34;2023M08;105758
SLOVENIJA;30-34;2023M09;105661
SLOVENIJA;30-34;2023M10;105486
SLOVENIJA;30-34;2023M11;105247
SLOVENIJA;30-34;2023M12;105376
SLOVENIJA;30-34;2024M01;105366
SLOVENIJA;30-34;2024M02;105552
SLOVENIJA;30-34;2024M03;105872
SLOVENIJA;30-34;2024M04;105995
SLOVENIJA;30-34;2024M05;106036
SLOVENIJA;30-34;2024M06;105756
SLOVENIJA;30-34;2024M07;105182
SLOVENIJA;30-34;2024M08;104849
SLOVENIJA;30-34;2024M09;104907
SLOVENIJA;30-34;2024M10;104712
SLOVENIJA;30-34;2024M11;104552
SLOVENIJA;30-34;2024M12;103887
SLOVENIJA;30-34;2025M01;103744
SLOVENIJA;35-39;2010M01;125382
SLOVENIJA;35-39;2010M02;125483
SLOVENIJA;35-39;2010M03;125839
SLOVENIJA;35-39;2010M04;126126
SLOVENIJA;35-39;2010M05;126208
SLOVENIJA;35-39;2010M06;126222
SLOVENIJA;35-39;2010M07;126220
SLOVENIJA;35-39;2010M08;126390
SLOVENIJA;35-39;2010M09;127188
SLOVENIJA;35-39;2010M10;127327
SLOVENIJA;35-39;2010M11;127459
SLOVENIJA;35-39;2010M12;126973
SLOVENIJA;35-39;2011M01;127206
SLOVENIJA;35-39;2011M02;127603
SLOVENIJA;35-39;2011M03;127874
SLOVENIJA;35-39;2011M04;128546
SLOVENIJA;35-39;2011M05;128975
SLOVENIJA;35-39;2011M06;129021
SLOVENIJA;35-39;2011M07;128608
SLOVENIJA;35-39;2011M08;128780
SLOVENIJA;35-39;2011M09;128958
SLOVENIJA;35-39;2011M10;128848
SLOVENIJA;35-39;2011M11;128674
SLOVENIJA;35-39;2011M12;127938
SLOVENIJA;35-39;2012M01;127272
SLOVENIJA;35-39;2012M02;127214
SLOVENIJA;35-39;2012M03;127468
SLOVENIJA;35-39;2012M04;127693
SLOVENIJA;35-39;2012M05;127933
SLOVENIJA;35-39;2012M06;127770
SLOVENIJA;35-39;2012M07;127217
SLOVENIJA;35-39;2012M08;127022
SLOVENIJA;35-39;2012M09;127166
SLOVENIJA;35-39;2012M10;126949
SLOVENIJA;35-39;2012M11;126795
SLOVENIJA;35-39;2012M12;125836
SLOVENIJA;35-39;2013M01;125332
SLOVENIJA;35-39;2013M02;125300
SLOVENIJA;35-39;2013M03;125318
SLOVENIJA;35-39;2013M04;125514
SLOVENIJA;35-39;2013M05;125897
SLOVENIJA;35-39;2013M06;125845
SLOVENIJA;35-39;2013M07;125650
SLOVENIJA;35-39;2013M08;125612
SLOVENIJA;35-39;2013M09;125881
SLOVENIJA;35-39;2013M10;126061
SLOVENIJA;35-39;2013M11;126097
SLOVENIJA;35-39;2013M12;125394
SLOVENIJA;35-39;2014M01;124446
SLOVENIJA;35-39;2014M02;124641
SLOVENIJA;35-39;2014M03;125345
SLOVENIJA;35-39;2014M04;126242
SLOVENIJA;35-39;2014M05;126818
SLOVENIJA;35-39;2014M06;127223
SLOVENIJA;35-39;2014M07;127220
SLOVENIJA;35-39;2014M08;127265
SLOVENIJA;35-39;2014M09;127678
SLOVENIJA;35-39;2014M10;127532
SLOVENIJA;35-39;2014M11;127539
SLOVENIJA;35-39;2014M12;126744
SLOVENIJA;35-39;2015M01;126055
SLOVENIJA;35-39;2015M02;126428
SLOVENIJA;35-39;2015M03;126935
SLOVENIJA;35-39;2015M04;127165
SLOVENIJA;35-39;2015M05;127439
SLOVENIJA;35-39;2015M06;127780
SLOVENIJA;35-39;2015M07;127619
SLOVENIJA;35-39;2015M08;127578
SLOVENIJA;35-39;2015M09;128013
SLOVENIJA;35-39;2015M10;127897
SLOVENIJA;35-39;2015M11;127977
SLOVENIJA;35-39;2015M12;127031
SLOVENIJA;35-39;2016M01;126062
SLOVENIJA;35-39;2016M02;126339
SLOVENIJA;35-39;2016M03;127386
SLOVENIJA;35-39;2016M04;127909
SLOVENIJA;35-39;2016M05;128150
SLOVENIJA;35-39;2016M06;128237
SLOVENIJA;35-39;2016M07;127731
SLOVENIJA;35-39;2016M08;127719
SLOVENIJA;35-39;2016M09;128191
SLOVENIJA;35-39;2016M10;128315
SLOVENIJA;35-39;2016M11;128531
SLOVENIJA;35-39;2016M12;127894
SLOVENIJA;35-39;2017M01;127533
SLOVENIJA;35-39;2017M02;127938
SLOVENIJA;35-39;2017M03;128846
SLOVENIJA;35-39;2017M04;129748
SLOVENIJA;35-39;2017M05;129947
SLOVENIJA;35-39;2017M06;130186
SLOVENIJA;35-39;2017M07;129677
SLOVENIJA;35-39;2017M08;129606
SLOVENIJA;35-39;2017M09;130031
SLOVENIJA;35-39;2017M10;130072
SLOVENIJA;35-39;2017M11;130105
SLOVENIJA;35-39;2017M12;129510
SLOVENIJA;35-39;2018M01;129047
SLOVENIJA;35-39;2018M02;129041
SLOVENIJA;35-39;2018M03;129604
SLOVENIJA;35-39;2018M04;130031
SLOVENIJA;35-39;2018M05;130170
SLOVENIJA;35-39;2018M06;130337
SLOVENIJA;35-39;2018M07;129886
SLOVENIJA;35-39;2018M08;129783
SLOVENIJA;35-39;2018M09;130126
SLOVENIJA;35-39;2018M10;130442
SLOVENIJA;35-39;2018M11;130486
SLOVENIJA;35-39;2018M12;130469
SLOVENIJA;35-39;2019M01;129450
SLOVENIJA;35-39;2019M02;129768
SLOVENIJA;35-39;2019M03;130143
SLOVENIJA;35-39;2019M04;130312
SLOVENIJA;35-39;2019M05;130233
SLOVENIJA;35-39;2019M06;130037
SLOVENIJA;35-39;2019M07;129556
